"Grid_Point
Latitude","Grid_Point
Longitude",Date,ERA5_RAIN (mm)
22.6,75.7,01-10-2005,0.0658
22.6,75.8,01-10-2005,0.0335
22.6,75.9,01-10-2005,0.0145
22.6,76,01-10-2005,0.0088
22.6,76.1,01-10-2005,0.0032
22.7,75.7,01-10-2005,0.056
22.7,75.8,01-10-2005,0.0262
22.7,75.9,01-10-2005,0.0046
22.7,76,01-10-2005,0.0007
22.7,76.1,01-10-2005,0.0002
22.8,75.7,01-10-2005,0.1182
22.8,75.8,01-10-2005,0.0581
22.8,75.9,01-10-2005,0.0122
22.8,76,01-10-2005,0.0005
22.8,76.1,01-10-2005,0.0001
22.6,75.7,02-10-2005,0.0432
22.6,75.8,02-10-2005,0.0285
22.6,75.9,02-10-2005,0.0187
22.6,76,02-10-2005,0.0113
22.6,76.1,02-10-2005,0.0061
22.7,75.7,02-10-2005,0.0021
22.7,75.8,02-10-2005,0.0021
22.7,75.9,02-10-2005,0.0021
22.7,76,02-10-2005,0.0021
22.7,76.1,02-10-2005,0.0022
22.8,75.7,02-10-2005,0.0021
22.8,75.8,02-10-2005,0.0021
22.8,75.9,02-10-2005,0.0021
22.8,76,02-10-2005,0.0021
22.8,76.1,02-10-2005,0.0021
22.6,75.7,03-10-2005,0.0009
22.6,75.8,03-10-2005,0.0009
22.6,75.9,03-10-2005,0.0009
22.6,76,03-10-2005,0.0009
22.6,76.1,03-10-2005,0.0009
22.7,75.7,03-10-2005,0.0009
22.7,75.8,03-10-2005,0.0009
22.7,75.9,03-10-2005,0.0009
22.7,76,03-10-2005,0.0009
22.7,76.1,03-10-2005,0.0009
22.8,75.7,03-10-2005,0.0009
22.8,75.8,03-10-2005,0.0009
22.8,75.9,03-10-2005,0.0009
22.8,76,03-10-2005,0.0009
22.8,76.1,03-10-2005,0.0009
22.6,75.7,04-10-2005,0.0251
22.6,75.8,04-10-2005,0.0126
22.6,75.9,04-10-2005,0.0058
22.6,76,04-10-2005,0.0039
22.6,76.1,04-10-2005,0.0019
22.7,75.7,04-10-2005,0.0078
22.7,75.8,04-10-2005,0.0062
22.7,75.9,04-10-2005,0.0048
22.7,76,04-10-2005,0.0032
22.7,76.1,04-10-2005,0.0019
22.8,75.7,04-10-2005,0.0045
22.8,75.8,04-10-2005,0.0037
22.8,75.9,04-10-2005,0.0027
22.8,76,04-10-2005,0.0021
22.8,76.1,04-10-2005,0.0015
22.6,75.7,05-10-2005,0
22.6,75.8,05-10-2005,0
22.6,75.9,05-10-2005,0
22.6,76,05-10-2005,0
22.6,76.1,05-10-2005,0
22.7,75.7,05-10-2005,0
22.7,75.8,05-10-2005,0
22.7,75.9,05-10-2005,0
22.7,76,05-10-2005,0
22.7,76.1,05-10-2005,0
22.8,75.7,05-10-2005,0
22.8,75.8,05-10-2005,0
22.8,75.9,05-10-2005,0
22.8,76,05-10-2005,0
22.8,76.1,05-10-2005,0
22.6,75.7,06-10-2005,0
22.6,75.8,06-10-2005,0
22.6,75.9,06-10-2005,0
22.6,76,06-10-2005,0
22.6,76.1,06-10-2005,0
22.7,75.7,06-10-2005,0
22.7,75.8,06-10-2005,0
22.7,75.9,06-10-2005,0
22.7,76,06-10-2005,0
22.7,76.1,06-10-2005,0
22.8,75.7,06-10-2005,0
