Year,Total_Rainfall_mm,Payout_INR
2005,0.6676333333333333,0
2006,8.706073333333334,0
2007,0.02919333333333333,0
2008,26.69226,0
2009,96.72364666666667,12000
2010,27.868273333333335,0
2011,1.22926,0
2012,3.6305533333333333,0
2013,62.460006666666665,5000
2014,9.94166,0
2015,11.845773333333334,0
2016,53.38332666666667,0
2017,18.48028,0
2018,0.7660733333333333,0
2019,84.6719,12000
2020,17.14941333333333,0
2021,73.00745333333333,8000
2022,64.95720666666666,5000
2023,1.5378733333333332,0
2024,73.86416,8000
